time,open,high,low,close,SMA UCL Bands,SMA LCL Bands,Candles (Цена откр.),Candles (Макс.,Candles (Мин.),Candles (Закрыть),Z-Score,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Down Trendline,Up Trendline,Volume,Volume MA,24H Volume
1755270540,0.019617,0.019885,0.019596,0.019731,NaN,NaN,0,0,0,0,-1.4117210341323865,0,1,2,3,-1,-2,-3,0.020538000000000053,NaN,51088201,30594685.56,621641340.955025
1755270570,0.019721,0.019759,0.019644,0.019714,NaN,NaN,0,0,0,0,-1.407433594148094,0,1,2,3,-1,-2,-3,0.020529000000000054,NaN,23152803,30678747.67,623035621.82109
1755270600,0.019716,0.019821,0.019655,0.019677,NaN,NaN,0,0,0,0,-1.4459813379419773,0,1,2,3,-1,-2,-3,0.020520000000000056,NaN,24239304,30610839.365,623035621.82109
1755270630,0.019677,0.019684,0.01932,0.019367,NaN,NaN,0,0,0,0,-2.048140772848011,0,1,2,3,-1,-2,-3,0.020511000000000057,NaN,41083660,30626412.65,624122052.1274719
1755270660,0.01937,0.01955,0.0191,0.019516,NaN,NaN,0,0,0,0,-1.664532480029834,0,1,2,3,-1,-2,-3,0.02050200000000006,NaN,59668155,30846234.145,624122052.1274719
1755270690,0.019519,0.019607,0.019487,0.019546,NaN,NaN,0,0,0,0,-1.555278763621401,0,1,2,3,-1,-2,-3,0.02049300000000006,NaN,20704984,30542283.85,625576671.272678
1755270720,0.019545,0.019703,0.019527,0.019574,NaN,NaN,0,0,0,0,-1.4544701818360986,0,1,2,3,-1,-2,-3,0.02048400000000006,NaN,20896638,30502748.22,625576671.272678
1755270750,0.01958,0.01958,0.019417,0.019551,NaN,NaN,0,0,0,0,-1.4667210949221758,0,1,2,3,-1,-2,-3,0.020475000000000063,NaN,17134928,30528139.3,626264191.1684959
1755270780,0.019547,0.019547,0.019345,0.019426,NaN,NaN,0,0,0,0,-1.6883874898718596,0,1,2,3,-1,-2,-3,0.020466000000000064,NaN,23675281,30583953.06,626264191.1684959
1755270810,0.01944,0.019558,0.01943,0.019521,NaN,NaN,0,0,0,0,-1.4513589033428171,0,1,2,3,-1,-2,-3,0.020457000000000065,NaN,16265447,30598379.35,626975914.8341209
1755270840,0.01952,0.019528,0.019403,0.019427,NaN,NaN,0,0,0,0,-1.6127822406733663,0,1,2,3,-1,-2,-3,0.020448000000000067,NaN,13956828,30589914.45,626975914.8341209
1755270870,0.019373,0.019405,0.019262,0.019321,NaN,NaN,0,0,0,0,-1.7970804542442933,0,1,2,3,-1,-2,-3,0.020439000000000068,NaN,26292408,30566082.415,627713550.3706669
1755270900,0.019319,0.019473,0.019306,0.01942,NaN,NaN,0,0,0,0,-1.5486620046214037,0,1,2,3,-1,-2,-3,0.02043000000000007,NaN,20093103,30550178.36,627713550.3706669
1755270930,0.019426,0.0195,0.019426,0.01947,NaN,NaN,0,0,0,0,-1.4114655387087043,0,1,2,3,-1,-2,-3,0.02042100000000007,NaN,11556975,30498860.045,628244763.5127028
1755270960,0.019472,0.019476,0.01903,0.019087,NaN,NaN,0,0,0,0,-2.182271954511829,0,1,2,3,-1,-2,-3,0.020412000000000072,NaN,50679988,30672502.825,628244763.5127028
1755270990,0.01911,0.019382,0.019087,0.019308,NaN,NaN,0,0,0,0,-1.656897033385814,0,1,2,3,-1,-2,-3,0.020403000000000074,NaN,41465775,30322843.87,629934713.4343559
1755271020,0.01931,0.019475,0.01931,0.019323,NaN,NaN,0,0,0,0,-1.588107834563477,0,1,2,3,-1,-2,-3,0.020394000000000075,NaN,28256092,30220451.225,629934713.4343559
1755271050,0.019325,0.019437,0.019212,0.019435,NaN,NaN,0,0,0,0,-1.3104624962876057,0,1,2,3,-1,-2,-3,0.020385000000000077,NaN,19355838,30164964.445,630763547.3070918
1755271080,0.019435,0.019475,0.019372,0.019448,NaN,NaN,0,0,0,0,-1.2561313403870065,0,1,2,3,-1,-2,-3,0.020376000000000078,NaN,19266581,30115013.42,630763547.3070918
1755271110,0.019447,0.019625,0.019409,0.019602,NaN,NaN,0,0,0,0,-0.888409876226415,0,1,2,3,-1,-2,-3,0.02036700000000008,NaN,31357622,30195043.765,631658841.2282258
1755271140,0.0196,0.0196,0.019507,0.019537,NaN,NaN,0,0,0,0,-1.0173894019095866,0,1,2,3,-1,-2,-3,0.02035800000000008,NaN,14290064,30160557.585,631658841.2282258
1755271170,0.019527,0.019527,0.019424,0.019498,NaN,NaN,0,0,0,0,-1.0874358356181726,0,1,2,3,-1,-2,-3,0.020349000000000082,NaN,16165867,30186419.75,632192326.1974399
1755271200,0.019498,0.019542,0.019439,0.01946,NaN,NaN,0,0,0,0,-1.157997809339654,0,1,2,3,-1,-2,-3,0.020340000000000084,NaN,13129428,30068020.58,632192326.1974399
1755271230,0.01948,0.019514,0.019303,0.019356,NaN,NaN,0,0,0,0,-1.3803097596363187,0,1,2,3,-1,-2,-3,0.020331000000000085,NaN,18228508,29798851.2,632713547.6563689
1755271260,0.019356,0.019431,0.01929,0.019409,NaN,NaN,0,0,0,0,-1.225221932248234,0,1,2,3,-1,-2,-3,0.020322000000000087,NaN,17551940,29741467.65,632713547.6563689
1755271290,0.019405,0.019452,0.019358,0.019391,NaN,NaN,0,0,0,0,-1.2437628732878734,0,1,2,3,-1,-2,-3,0.020313000000000088,NaN,11398244,29652635.45,633189353.8622549
